SequenceName,Cycle,Accuracy,ActivatePredictedColumnCalls,ActivatePredictedColumnNewSynapseCount,BurstColumnWithMatchingSegmentsCalls ,BurstColumnWithMatchingSegmentsNewSynapseCount,BurstColumnWithoutMatchingSegmentsCalls,BurstColumnWithoutMatchingSegmentsNewSynapseCount
S1,209,0,0,0,0,0,60,1200
S1,210,0,0,0,4,6,0,0
S1,211,22.22222222,4,10,0,0,0,0
S1,212,77.77777778,2,3,2,14,0,0
S1,213,66.66666667,0,0,4,17,0,0
S1,214,77.77777778,0,0,4,17,0,0
S1,215,77.77777778,0,0,4,17,0,0
S1,216,77.77777778,0,0,4,17,0,0
S1,217,77.77777778,0,0,4,17,0,0
S1,218,88.88888889,0,0,2,14,2,40
S1,219,88.88888889,0,0,0,0,0,0
S1,220,88.88888889,0,0,0,0,0,0
S1,221,88.88888889,20,40,0,0,0,0
S1,222,88.88888889,0,0,0,0,0,0
S1,223,88.88888889,0,0,0,0,0,0
S1,224,88.88888889,0,0,0,0,0,0
S1,225,88.88888889,0,0,0,0,0,0
S1,226,88.88888889,0,0,0,0,0,0
S1,227,88.88888889,0,0,0,0,0,0
S1,228,88.88888889,0,0,0,0,0,0
S1,229,88.88888889,0,0,0,0,0,0
S1,230,88.88888889,0,0,0,0,0,0
S1,231,88.88888889,0,0,0,0,0,0
S1,232,88.88888889,0,0,0,0,0,0
S1,233,88.88888889,0,0,0,0,0,0
S1,234,88.88888889,0,0,0,0,0,0
S1,235,88.88888889,0,0,0,0,0,0
S1,236,88.88888889,0,0,0,0,0,0
S1,237,88.88888889,0,0,0,0,0,0
S1,238,88.88888889,0,0,0,0,0,0
S1,239,88.88888889,0,0,0,0,0,0
S1,240,88.88888889,0,0,0,0,0,0
S1,241,88.88888889,0,0,0,0,0,0
S1,242,88.88888889,0,0,0,0,0,0
S1,243,88.88888889,0,0,0,0,0,0
S1,244,88.88888889,0,0,0,0,0,0
S1,245,88.88888889,0,0,0,0,0,0
S1,246,88.88888889,0,0,0,0,0,0
S1,247,88.88888889,0,0,0,0,0,0
SequenceName,Cycle,Accuracy,ActivatePredictedColumnCalls,ActivatePredictedColumnNewSynapseCount,BurstColumnWithMatchingSegmentsCalls ,BurstColumnWithMatchingSegmentsNewSynapseCount,BurstColumnWithoutMatchingSegmentsCalls,BurstColumnWithoutMatchingSegmentsNewSynapseCount
S2,248,0,0,0,0,0,39,780
S2,249,0,0,0,0,0,0,0
S2,250,66.66666667,0,0,0,0,0,0
S2,251,77.77777778,0,0,0,0,28,560
S2,252,77.77777778,0,0,0,0,0,0
S2,253,77.77777778,0,0,0,0,0,0
S2,254,66.66666667,0,0,20,160,0,0
S2,255,77.77777778,0,0,0,0,0,0
S2,256,77.77777778,0,0,0,0,0,0
S2,257,77.77777778,0,0,0,0,20,400
S2,258,77.77777778,0,0,0,0,0,0
S2,259,77.77777778,0,0,0,0,0,0
S2,260,77.77777778,0,0,0,0,20,400
S2,261,77.77777778,0,0,0,0,0,0
S2,262,77.77777778,0,0,0,0,0,0
S2,263,88.88888889,0,0,0,0,0,0
S2,264,88.88888889,0,0,0,0,0,0
S2,265,88.88888889,0,0,0,0,0,0
S2,266,88.88888889,0,0,0,0,0,0
S2,267,88.88888889,0,0,0,0,0,0
S2,268,88.88888889,0,0,0,0,0,0
S2,269,88.88888889,0,0,0,0,0,0
S2,270,88.88888889,0,0,0,0,0,0
S2,271,88.88888889,0,0,0,0,0,0
S2,272,88.88888889,0,0,0,0,0,0
S2,273,88.88888889,0,0,0,0,0,0
S2,274,88.88888889,0,0,0,0,0,0
S2,275,88.88888889,0,0,0,0,0,0
S2,276,88.88888889,0,0,0,0,0,0
S2,277,88.88888889,0,0,0,0,0,0
S2,278,88.88888889,0,0,0,0,0,0
S2,279,88.88888889,0,0,0,0,0,0
S2,280,88.88888889,0,0,0,0,0,0
S2,281,88.88888889,0,0,0,0,0,0
S2,282,88.88888889,0,0,0,0,0,0
S2,283,88.88888889,0,0,0,0,0,0
S2,284,88.88888889,0,0,0,0,0,0
S2,285,88.88888889,0,0,0,0,0,0
S2,286,88.88888889,0,0,0,0,0,0
S2,287,88.88888889,0,0,0,0,0,0
S2,288,88.88888889,0,0,0,0,0,0
S2,289,88.88888889,0,0,0,0,0,0
S2,290,88.88888889,0,0,0,0,0,0
S2,291,88.88888889,0,0,0,0,0,0
S2,292,88.88888889,0,0,0,0,0,0
SequenceName,Cycle,Accuracy,ActivatePredictedColumnCalls,ActivatePredictedColumnNewSynapseCount,BurstColumnWithMatchingSegmentsCalls ,BurstColumnWithMatchingSegmentsNewSynapseCount,BurstColumnWithoutMatchingSegmentsCalls,BurstColumnWithoutMatchingSegmentsNewSynapseCount
S3,293,0,0,0,0,0,20,400
S3,294,0,0,0,0,0,0,0
S3,295,77.77777778,0,0,0,0,0,0
S3,296,77.77777778,0,0,18,198,2,40
S3,297,77.77777778,0,0,18,18,0,0
S3,298,77.77777778,0,0,18,18,0,0
S3,299,88.88888889,20,40,0,0,0,0
S3,300,88.88888889,0,0,0,0,0,0
S3,301,88.88888889,0,0,0,0,0,0
S3,302,88.88888889,0,0,0,0,0,0
S3,303,88.88888889,0,0,0,0,0,0
S3,304,88.88888889,0,0,0,0,0,0
S3,305,88.88888889,0,0,0,0,0,0
S3,306,88.88888889,0,0,0,0,0,0
S3,307,88.88888889,0,0,0,0,0,0
S3,308,88.88888889,0,0,0,0,0,0
S3,309,88.88888889,0,0,0,0,0,0
S3,310,88.88888889,0,0,0,0,0,0
S3,311,88.88888889,0,0,0,0,0,0
S3,312,88.88888889,0,0,0,0,0,0
S3,313,88.88888889,0,0,0,0,0,0
S3,314,88.88888889,0,0,0,0,0,0
S3,315,88.88888889,0,0,0,0,0,0
S3,316,88.88888889,0,0,0,0,0,0
S3,317,88.88888889,0,0,0,0,0,0
S3,318,88.88888889,0,0,0,0,0,0
S3,319,88.88888889,0,0,0,0,0,0
S3,320,88.88888889,0,0,0,0,0,0
S3,321,88.88888889,0,0,0,0,0,0
S3,322,88.88888889,0,0,0,0,0,0
S3,323,88.88888889,0,0,0,0,0,0
S3,324,88.88888889,0,0,0,0,0,0
S3,325,88.88888889,0,0,0,0,0,0
S3,326,88.88888889,0,0,0,0,0,0
S3,327,88.88888889,0,0,0,0,0,0
S3,328,88.88888889,0,0,0,0,0,0
