SequenceName,Cycle,Accuracy,ActivatePredictedColumnCalls,ActivatePredictedColumnNewSynapseCount,BurstColumnWithMatchingSegmentsCalls ,BurstColumnWithMatchingSegmentsNewSynapseCount,BurstColumnWithoutMatchingSegmentsCalls,BurstColumnWithoutMatchingSegmentsNewSynapseCount
S1,208,0,0,0,0,0,60,1200
S1,209,0,0,0,0,0,0,0
S1,210,0,0,0,0,0,0,0
S1,211,88.88888888888889,0,0,0,0,0,0
S1,212,88.88888888888889,0,0,0,0,0,0
S1,213,88.88888888888889,0,0,0,0,0,0
S1,214,88.88888888888889,0,0,0,0,0,0
S1,215,88.88888888888889,0,0,0,0,0,0
S1,216,88.88888888888889,0,0,0,0,0,0
S1,217,88.88888888888889,0,0,0,0,0,0
S1,218,88.88888888888889,0,0,0,0,0,0
S1,219,88.88888888888889,0,0,0,0,0,0
S1,220,88.88888888888889,0,0,0,0,0,0
S1,221,88.88888888888889,0,0,0,0,0,0
S1,222,88.88888888888889,0,0,0,0,0,0
S1,223,88.88888888888889,0,0,0,0,0,0
S1,224,88.88888888888889,0,0,0,0,0,0
S1,225,88.88888888888889,0,0,0,0,0,0
S1,226,88.88888888888889,0,0,0,0,0,0
S1,227,88.88888888888889,0,0,0,0,0,0
S1,228,88.88888888888889,0,0,0,0,0,0
S1,229,88.88888888888889,0,0,0,0,0,0
S1,230,88.88888888888889,0,0,0,0,0,0
S1,231,88.88888888888889,0,0,0,0,0,0
S1,232,88.88888888888889,0,0,0,0,0,0
S1,233,88.88888888888889,0,0,0,0,0,0
S1,234,88.88888888888889,0,0,0,0,0,0
S1,235,88.88888888888889,0,0,0,0,0,0
S1,236,88.88888888888889,0,0,0,0,0,0
S1,237,88.88888888888889,0,0,0,0,0,0
S1,238,88.88888888888889,0,0,0,0,0,0
S1,239,88.88888888888889,0,0,0,0,0,0
S1,240,88.88888888888889,0,0,0,0,0,0
S2,241,0,0,0,0,0,40,800
S2,242,0,0,0,0,0,0,0
S2,243,55.55555555555556,0,0,0,0,0,0
S2,244,77.77777777777779,0,0,0,0,28,560
S2,245,77.77777777777779,0,0,0,0,0,0
S2,246,77.77777777777779,0,0,0,0,0,0
S2,247,66.66666666666666,0,0,20,160,0,0
S2,248,77.77777777777779,0,0,0,0,0,0
S2,249,77.77777777777779,0,0,0,0,0,0
S2,250,77.77777777777779,0,0,0,0,20,400
S2,251,77.77777777777779,0,0,0,0,0,0
S2,252,77.77777777777779,0,0,0,0,0,0
S2,253,77.77777777777779,0,0,0,0,20,400
S2,254,77.77777777777779,0,0,0,0,0,0
S2,255,77.77777777777779,0,0,0,0,0,0
S2,256,88.88888888888889,0,0,0,0,0,0
S2,257,88.88888888888889,0,0,0,0,0,0
S2,258,88.88888888888889,0,0,0,0,0,0
S2,259,88.88888888888889,0,0,0,0,0,0
S2,260,88.88888888888889,0,0,0,0,0,0
S2,261,88.88888888888889,0,0,0,0,0,0
S2,262,88.88888888888889,0,0,0,0,0,0
S2,263,88.88888888888889,0,0,0,0,0,0
S2,264,88.88888888888889,0,0,0,0,0,0
S2,265,88.88888888888889,0,0,0,0,0,0
S2,266,88.88888888888889,0,0,0,0,0,0
S2,267,88.88888888888889,0,0,0,0,0,0
S2,268,88.88888888888889,0,0,0,0,0,0
S2,269,88.88888888888889,0,0,0,0,0,0
S2,270,88.88888888888889,0,0,0,0,0,0
S2,271,88.88888888888889,0,0,0,0,0,0
S2,272,88.88888888888889,0,0,0,0,0,0
S2,273,88.88888888888889,0,0,0,0,0,0
S2,274,88.88888888888889,0,0,0,0,0,0
S2,275,88.88888888888889,0,0,0,0,0,0
S2,276,88.88888888888889,0,0,0,0,0,0
S2,277,88.88888888888889,0,0,0,0,0,0
S2,278,88.88888888888889,0,0,0,0,0,0
S2,279,88.88888888888889,0,0,0,0,0,0
S2,280,88.88888888888889,0,0,0,0,0,0
S2,281,88.88888888888889,0,0,0,0,0,0
S2,282,88.88888888888889,0,0,0,0,0,0
S2,283,88.88888888888889,0,0,0,0,0,0
S2,284,88.88888888888889,0,0,0,0,0,0
S2,285,88.88888888888889,0,0,0,0,0,0
S3,286,0,0,0,0,0,20,400
S3,287,0,0,0,0,0,0,0
S3,288,77.77777777777779,0,0,0,0,0,0
S3,289,77.77777777777779,0,0,20,178,8,160
S3,290,77.77777777777779,0,0,20,54,0,0
S3,291,77.77777777777779,0,0,20,54,0,0
S3,292,77.77777777777779,0,0,20,164,0,0
S3,293,77.77777777777779,0,0,0,0,0,0
S3,294,77.77777777777779,0,0,0,0,0,0
S3,295,77.77777777777779,0,0,19,183,1,20
S3,296,77.77777777777779,0,0,3,3,0,0
S3,297,77.77777777777779,0,0,3,3,0,0
S3,298,88.88888888888889,0,0,0,0,0,0
S3,299,88.88888888888889,0,0,0,0,0,0
S3,300,88.88888888888889,0,0,0,0,0,0
S3,301,88.88888888888889,0,0,0,0,0,0
S3,302,88.88888888888889,0,0,0,0,0,0
S3,303,88.88888888888889,0,0,0,0,0,0
S3,304,88.88888888888889,0,0,0,0,0,0
S3,305,88.88888888888889,0,0,0,0,0,0
S3,306,88.88888888888889,0,0,0,0,0,0
S3,307,88.88888888888889,0,0,0,0,0,0
S3,308,88.88888888888889,0,0,0,0,0,0
S3,309,88.88888888888889,0,0,0,0,0,0
S3,310,88.88888888888889,0,0,0,0,0,0
S3,311,88.88888888888889,0,0,0,0,0,0
S3,312,88.88888888888889,0,0,0,0,0,0
S3,313,88.88888888888889,0,0,0,0,0,0
S3,314,88.88888888888889,0,0,0,0,0,0
S3,315,88.88888888888889,0,0,0,0,0,0
S3,316,88.88888888888889,0,0,0,0,0,0
S3,317,88.88888888888889,0,0,0,0,0,0
S3,318,88.88888888888889,0,0,0,0,0,0
S3,319,88.88888888888889,0,0,0,0,0,0
S3,320,88.88888888888889,0,0,0,0,0,0
S3,321,88.88888888888889,0,0,0,0,0,0
S3,322,88.88888888888889,0,0,0,0,0,0
S3,323,88.88888888888889,0,0,0,0,0,0
S3,324,88.88888888888889,0,0,0,0,0,0
S3,325,88.88888888888889,0,0,0,0,0,0
S3,326,88.88888888888889,0,0,0,0,0,0
S3,327,88.88888888888889,0,0,0,0,0,0
